,Season,Team,W_x,L,SV,G,GS,IP,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,W_y
17,2018.0,Phillies,80.0,82.0,44.0,758.0,162.0,1445.2,1465.0,9.12,3.11,1.06,0.303,0.71,0.45399999999999996,0.124,4.15,3.83,3.87,19.2,80
18,2018.0,Angels,80.0,82.0,35.0,763.0,162.0,1437.1,1386.0,8.68,3.42,1.28,0.294,0.741,0.42100000000000004,0.141,4.15,4.36,4.18,11.3,80
19,2018.0,Rockies,91.0,72.0,51.0,681.0,163.0,1452.1,1409.0,8.73,3.25,1.14,0.299,0.713,0.452,0.135,4.33,4.06,3.96,17.3,91
20,2018.0,Padres,66.0,96.0,36.0,697.0,162.0,1457.0,1399.0,8.64,3.21,1.14,0.305,0.711,0.444,0.136,4.41,4.1,3.99,12.4,66
21,2018.0,Twins,78.0,84.0,37.0,728.0,162.0,1443.1,1377.0,8.59,3.57,1.23,0.302,0.7240000000000001,0.41600000000000004,0.132,4.5,4.39,4.33,11.9,78
22,2018.0,Tigers,64.0,98.0,37.0,704.0,162.0,1425.1,1215.0,7.67,3.1,1.36,0.291,0.705,0.396,0.129,4.6,4.59,4.55,9.6,64
23,2018.0,Reds,67.0,95.0,38.0,706.0,162.0,1441.0,1258.0,7.86,3.32,1.42,0.3,0.715,0.444,0.158,4.65,4.68,4.28,8.1,67
24,2018.0,Marlins,63.0,98.0,30.0,707.0,161.0,1442.0,1249.0,7.8,3.78,1.2,0.29,0.6990000000000001,0.409,0.121,4.76,4.57,4.65,2.7,63
25,2018.0,White Sox,62.0,100.0,34.0,715.0,162.0,1437.0,1259.0,7.89,4.09,1.23,0.292,0.6940000000000001,0.408,0.11699999999999999,4.85,4.73,4.88,9.9,62
26,2018.0,Blue Jays,73.0,89.0,39.0,752.0,162.0,1433.2,1298.0,8.15,3.46,1.31,0.306,0.7,0.425,0.127,4.85,4.53,4.54,8.8,73
27,2018.0,Rangers,67.0,95.0,42.0,668.0,162.0,1431.0,1121.0,7.05,3.09,1.4,0.299,0.696,0.43,0.141,4.92,4.79,4.59,10.8,67
28,2018.0,Royals,58.0,104.0,33.0,645.0,162.0,1432.0,1157.0,7.27,3.45,1.29,0.309,0.706,0.431,0.13,4.95,4.66,4.63,6.4,58
29,2018.0,Orioles,47.0,115.0,28.0,652.0,162.0,1431.0,1203.0,7.57,3.7,1.47,0.31,0.7,0.419,0.14400000000000002,5.19,4.98,4.73,7.3,47
0,2017.0,Indians,102.0,60.0,37.0,659.0,162.0,1440.2,1614.0,10.08,2.54,1.02,0.303,0.775,0.441,0.13,3.3,3.33,3.41,30.4,102
1,2017.0,Dodgers,104.0,58.0,51.0,698.0,162.0,1444.2,1549.0,9.65,2.75,1.15,0.281,0.778,0.42700000000000005,0.134,3.38,3.67,3.7,21.7,104
2,2017.0,Diamondbacks,93.0,69.0,43.0,675.0,162.0,1441.0,1482.0,9.26,3.22,1.07,0.294,0.742,0.48100000000000004,0.131,3.67,3.8,3.86,22.9,93
3,2017.0,Red Sox,93.0,69.0,39.0,677.0,162.0,1482.1,1580.0,9.59,2.82,1.18,0.303,0.757,0.41,0.127,3.73,3.78,3.91,23.2,93
4,2017.0,Yankees,91.0,71.0,36.0,639.0,162.0,1448.2,1560.0,9.69,3.13,1.19,0.28,0.745,0.462,0.142,3.75,3.88,3.82,23.4,91
5,2017.0,Nationals,97.0,65.0,46.0,649.0,162.0,1446.2,1457.0,9.06,3.08,1.18,0.287,0.7440000000000001,0.44,0.128,3.88,3.99,4.12,23.0,97
6,2017.0,Cubs,92.0,70.0,38.0,693.0,162.0,1447.1,1439.0,8.95,3.44,1.21,0.285,0.742,0.462,0.145,3.95,4.2,4.1,16.8,92
7,2017.0,Rays,80.0,82.0,53.0,673.0,162.0,1445.0,1352.0,8.42,3.13,1.2,0.283,0.73,0.43,0.128,3.99,4.17,4.29,15.0,80
8,2017.0,Brewers,86.0,76.0,54.0,712.0,162.0,1445.2,1346.0,8.38,3.44,1.15,0.298,0.748,0.457,0.135,4.0,4.24,4.26,17.1,86
9,2017.0,Cardinals,83.0,79.0,43.0,708.0,162.0,1450.1,1351.0,8.38,3.06,1.14,0.298,0.736,0.46299999999999997,0.135,4.01,4.09,4.12,15.7,83
10,2017.0,Astros,101.0,61.0,45.0,681.0,162.0,1446.0,1593.0,9.91,3.25,1.2,0.3,0.737,0.473,0.149,4.12,3.91,3.77,19.0,101
11,2017.0,Angels,80.0,82.0,43.0,705.0,162.0,1440.2,1312.0,8.2,2.94,1.4,0.289,0.7490000000000001,0.41600000000000004,0.141,4.2,4.43,4.37,11.0,80
12,2017.0,Pirates,75.0,87.0,36.0,664.0,162.0,1440.2,1262.0,7.88,3.19,1.14,0.306,0.732,0.452,0.129,4.23,4.23,4.33,16.6,75
13,2017.0,Blue Jays,76.0,86.0,45.0,740.0,162.0,1465.0,1372.0,8.43,3.37,1.25,0.303,0.718,0.45399999999999996,0.133,4.42,4.31,4.36,16.6,76
14,2017.0,Mariners,78.0,84.0,39.0,689.0,162.0,1440.1,1244.0,7.77,3.06,1.48,0.283,0.727,0.40299999999999997,0.141,4.46,4.7,4.64,9.3,78
15,2017.0,Giants,64.0,98.0,32.0,664.0,162.0,1452.0,1234.0,7.65,3.07,1.13,0.308,0.711,0.425,0.115,4.5,4.22,4.53,11.4,64
16,2017.0,Rockies,87.0,75.0,47.0,711.0,162.0,1437.2,1270.0,7.95,3.33,1.19,0.305,0.722,0.485,0.142,4.51,4.32,4.26,18.6,87
17,2017.0,Phillies,66.0,96.0,33.0,668.0,162.0,1441.0,1309.0,8.18,3.29,1.38,0.304,0.73,0.429,0.141,4.57,4.56,4.5,14.3,66
18,2017.0,Twins,85.0,77.0,42.0,682.0,162.0,1436.0,1166.0,7.31,3.03,1.4,0.296,0.725,0.424,0.135,4.6,4.71,4.75,8.9,85
19,2017.0,Royals,80.0,82.0,39.0,700.0,162.0,1437.2,1216.0,7.61,3.25,1.23,0.303,0.7090000000000001,0.43700000000000006,0.12,4.63,4.43,4.68,13.7,80
20,2017.0,Athletics,75.0,87.0,35.0,687.0,162.0,1431.0,1202.0,7.56,3.16,1.32,0.294,0.6890000000000001,0.449,0.139,4.67,4.57,4.54,9.6,75
21,2017.0,Padres,71.0,91.0,45.0,679.0,162.0,1430.2,1325.0,8.34,3.49,1.42,0.299,0.711,0.475,0.16399999999999998,4.7,4.68,4.34,7.9,71
22,2017.0,Rangers,78.0,84.0,29.0,626.0,162.0,1434.1,1107.0,6.95,3.51,1.34,0.289,0.7090000000000001,0.442,0.136,4.7,4.88,4.89,11.2,78
23,2017.0,Braves,72.0,90.0,36.0,692.0,162.0,1441.1,1258.0,7.86,3.65,1.2,0.302,0.701,0.445,0.125,4.72,4.51,4.67,8.9,72
24,2017.0,White Sox,67.0,95.0,25.0,682.0,162.0,1421.2,1193.0,7.55,4.0,1.53,0.281,0.7240000000000001,0.419,0.147,4.78,5.17,5.01,4.4,67
25,2017.0,Marlins,77.0,85.0,34.0,742.0,162.0,1442.2,1202.0,7.5,3.91,1.2,0.298,0.7070000000000001,0.425,0.122,4.82,4.69,4.9,5.5,77
26,2017.0,Orioles,75.0,87.0,35.0,654.0,162.0,1441.0,1233.0,7.7,3.62,1.51,0.302,0.722,0.446,0.154,4.97,4.96,4.72,8.6,75
27,2017.0,Mets,70.0,92.0,34.0,730.0,162.0,1434.2,1374.0,8.62,3.72,1.38,0.319,0.705,0.444,0.149,5.01,4.59,4.42,8.7,70
28,2017.0,Reds,68.0,94.0,33.0,666.0,162.0,1430.0,1300.0,8.18,3.97,1.56,0.296,0.711,0.446,0.168,5.17,5.08,4.66,5.3,68
29,2017.0,Tigers,64.0,98.0,32.0,672.0,162.0,1420.1,1202.0,7.62,3.41,1.38,0.32,0.687,0.39399999999999996,0.128,5.36,4.73,4.87,11.5,64
0,2016.0,Cubs,103.0,58.0,38.0,665.0,162.0,1459.2,1441.0,8.88,3.05,1.01,0.255,0.775,0.469,0.131,3.15,3.77,3.74,18.8,103
1,2016.0,Nationals,95.0,67.0,46.0,670.0,162.0,1459.2,1476.0,9.1,2.89,0.96,0.288,0.75,0.433,0.109,3.52,3.58,3.82,23.5,95
2,2016.0,Mets,87.0,75.0,55.0,700.0,162.0,1447.0,1396.0,8.68,2.73,0.95,0.308,0.7559999999999999,0.442,0.111,3.58,3.57,3.78,21.5,87
3,2016.0,Giants,87.0,75.0,43.0,737.0,162.0,1460.1,1309.0,8.07,2.71,0.97,0.287,0.743,0.45299999999999996,0.10800000000000001,3.69,3.76,4.01,14.2,87
4,2016.0,Dodgers,91.0,71.0,47.0,768.0,162.0,1453.0,1510.0,9.35,2.87,1.02,0.288,0.738,0.428,0.11699999999999999,3.7,3.61,3.75,20.0,91
5,2016.0,Blue Jays,89.0,73.0,43.0,649.0,162.0,1459.1,1314.0,8.1,2.84,1.13,0.282,0.745,0.466,0.13,3.79,4.04,4.02,16.8,89
6,2016.0,Indians,94.0,67.0,37.0,665.0,161.0,1445.0,1398.0,8.71,2.87,1.16,0.289,0.7340000000000001,0.467,0.13699999999999998,3.86,3.91,3.8,18.2,94
7,2016.0,Mariners,86.0,76.0,49.0,638.0,162.0,1457.0,1318.0,8.14,2.84,1.32,0.292,0.7490000000000001,0.434,0.138,4.0,4.3,4.17,14.5,86
8,2016.0,Red Sox,93.0,69.0,43.0,625.0,162.0,1439.2,1362.0,8.51,3.06,1.1,0.293,0.7290000000000001,0.415,0.114,4.0,4.0,4.2,18.8,93
9,2016.0,Marlins,79.0,82.0,55.0,720.0,161.0,1435.0,1379.0,8.65,3.73,0.95,0.303,0.74,0.43,0.109,4.05,3.97,4.21,15.5,79
10,2016.0,Astros,84.0,78.0,44.0,662.0,162.0,1468.0,1396.0,8.56,2.78,1.11,0.306,0.7340000000000001,0.452,0.126,4.06,3.85,3.87,17.6,84
11,2016.0,Cardinals,86.0,76.0,38.0,643.0,162.0,1448.1,1290.0,8.02,2.95,0.99,0.304,0.718,0.495,0.128,4.08,3.88,3.88,16.6,86
12,2016.0,Brewers,73.0,89.0,46.0,675.0,162.0,1434.1,1175.0,7.37,3.34,1.12,0.3,0.731,0.46,0.124,4.1,4.37,4.42,11.1,73
13,2016.0,White Sox,78.0,84.0,43.0,643.0,162.0,1446.2,1270.0,7.9,3.24,1.15,0.298,0.74,0.431,0.12,4.12,4.27,4.38,17.1,78
14,2016.0,Yankees,84.0,78.0,48.0,645.0,162.0,1428.1,1393.0,8.78,2.8,1.35,0.292,0.742,0.469,0.155,4.16,4.2,3.86,18.7,84
15,2016.0,Rays,68.0,94.0,42.0,647.0,162.0,1426.1,1357.0,8.56,3.1,1.33,0.297,0.742,0.41,0.131,4.2,4.26,4.22,10.6,68
16,2016.0,Royals,81.0,81.0,41.0,634.0,162.0,1440.0,1287.0,8.04,3.23,1.29,0.298,0.754,0.44299999999999995,0.134,4.21,4.42,4.33,12.1,81
17,2016.0,Orioles,89.0,73.0,54.0,605.0,162.0,1432.0,1248.0,7.84,3.43,1.15,0.299,0.738,0.44799999999999995,0.126,4.22,4.31,4.34,15.7,89
18,2016.0,Pirates,78.0,83.0,51.0,687.0,162.0,1450.2,1232.0,7.64,3.31,1.12,0.306,0.725,0.469,0.13,4.22,4.3,4.28,9.0,78
19,2016.0,Tigers,86.0,75.0,47.0,637.0,161.0,1428.0,1232.0,7.76,2.91,1.15,0.3,0.722,0.445,0.11699999999999999,4.24,4.16,4.31,18.5,86
20,2016.0,Angels,74.0,88.0,29.0,689.0,162.0,1421.1,1136.0,7.19,3.15,1.32,0.301,0.75,0.408,0.125,4.28,4.62,4.66,8.0,74
21,2016.0,Rangers,95.0,67.0,56.0,641.0,162.0,1443.0,1154.0,7.2,3.33,1.25,0.292,0.728,0.455,0.135,4.38,4.58,4.49,12.6,95
22,2016.0,Padres,68.0,94.0,35.0,672.0,162.0,1440.0,1222.0,7.64,3.56,1.14,0.296,0.713,0.46399999999999997,0.126,4.44,4.4,4.42,8.6,68
23,2016.0,Braves,68.0,93.0,39.0,748.0,161.0,1447.2,1227.0,7.63,3.4,1.1,0.293,0.7020000000000001,0.447,0.11699999999999999,4.51,4.32,4.48,9.0,68
24,2016.0,Athletics,69.0,93.0,42.0,654.0,162.0,1433.1,1188.0,7.46,2.91,1.16,0.299,0.7070000000000001,0.462,0.125,4.51,4.24,4.28,13.7,69
25,2016.0,Phillies,71.0,91.0,43.0,667.0,162.0,1437.0,1299.0,8.14,2.92,1.33,0.304,0.705,0.41,0.138,4.64,4.34,4.21,13.9,71
26,2016.0,Reds,68.0,94.0,28.0,646.0,162.0,1442.0,1241.0,7.75,3.97,1.61,0.29,0.728,0.41600000000000004,0.159,4.91,5.24,4.79,1.0,68
27,2016.0,Rockies,75.0,87.0,37.0,695.0,162.0,1429.1,1223.0,7.7,3.44,1.14,0.317,0.68,0.491,0.141,4.92,4.38,4.23,13.1,75
28,2016.0,Twins,59.0,103.0,26.0,695.0,162.0,1443.0,1191.0,7.43,2.99,1.38,0.319,0.6829999999999999,0.43,0.139,5.09,4.57,4.42,10.7,59
29,2016.0,Diamondbacks,69.0,93.0,31.0,737.0,162.0,1451.1,1318.0,8.17,3.74,1.25,0.32,0.687,0.46,0.141,5.09,4.5,4.34,10.1,69
0,2015.0,Cardinals,100.0,62.0,62.0,677.0,162.0,1464.2,1329.0,8.17,2.93,0.76,0.297,0.794,0.48,0.094,2.94,3.48,3.71,20.6,100
1,2015.0,Pirates,98.0,64.0,54.0,662.0,162.0,1489.2,1338.0,8.08,2.74,0.66,0.302,0.75,0.504,0.094,3.23,3.36,3.56,19.5,98
2,2015.0,Cubs,97.0,65.0,48.0,714.0,162.0,1461.1,1431.0,8.81,2.51,0.83,0.287,0.727,0.466,0.107,3.36,3.3,3.37,22.9,97
