,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
13,2006.0,Mariners,2259.0,6213.0,172.0,756.0,703.0,106.0,0.065,0.157,0.153,0.3,0.272,0.325,0.424,0.322,95.0,,4.0,-37.6,26.5,19.7,78.0,84.0,47.0,591.0,162.0,1446.2,1067.0,6.64,3.48,1.14,0.297,0.711,0.429,0.107,4.6,4.59,4.61,13.4,78
14,2006.0,Astros,2393.0,6326.0,174.0,735.0,708.0,79.0,0.092,0.17,0.154,0.286,0.255,0.332,0.409,0.322,90.0,,5.7,-82.5,74.7,19.7,82.0,80.0,42.0,659.0,162.0,1468.2,1160.0,7.11,2.94,1.12,0.286,0.728,0.452,0.11599999999999999,4.09,4.27,4.16,19.2,82
15,2006.0,Nationals,2430.0,6283.0,164.0,746.0,695.0,123.0,0.095,0.184,0.156,0.301,0.262,0.338,0.418,0.327,96.0,,3.3,-27.3,18.8,19.5,71.0,91.0,32.0,679.0,162.0,1436.1,960.0,6.02,3.66,1.21,0.292,0.69,0.396,0.102,5.03,4.97,5.08,4.6,71
16,2006.0,White Sox,2286.0,6318.0,236.0,868.0,839.0,93.0,0.079,0.16699999999999998,0.184,0.305,0.28,0.342,0.464,0.346,103.0,,-8.4,14.4,-34.1,19.3,90.0,72.0,46.0,560.0,162.0,1449.0,1012.0,6.29,2.69,1.24,0.295,0.705,0.429,0.11199999999999999,4.61,4.56,4.5,19.2,90
17,2006.0,Royals,2272.0,6229.0,124.0,757.0,718.0,65.0,0.076,0.16699999999999998,0.14,0.311,0.271,0.332,0.411,0.323,92.0,,3.0,-64.6,37.7,18.3,62.0,100.0,35.0,635.0,162.0,1426.1,904.0,5.7,4.02,1.34,0.311,0.6709999999999999,0.42200000000000004,0.121,5.67,5.29,5.09,0.5,62
18,2006.0,Orioles,2295.0,6240.0,164.0,768.0,727.0,121.0,0.076,0.141,0.146,0.302,0.277,0.339,0.424,0.331,96.0,,-4.5,-36.4,-2.7,17.1,70.0,92.0,35.0,634.0,162.0,1419.0,1016.0,6.44,3.89,1.37,0.307,0.6920000000000001,0.423,0.127,5.35,5.09,4.8,7.6,70
19,2006.0,Athletics,2197.0,6281.0,175.0,771.0,735.0,61.0,0.10300000000000001,0.155,0.152,0.285,0.26,0.34,0.412,0.328,97.0,,-16.5,-38.5,-8.1,16.5,93.0,69.0,54.0,606.0,162.0,1451.2,1003.0,6.22,3.28,1.0,0.301,0.7340000000000001,0.426,0.092,4.22,4.42,4.67,17.2,93
20,2006.0,Red Sox,2346.0,6435.0,192.0,820.0,777.0,51.0,0.10400000000000001,0.16399999999999998,0.166,0.298,0.269,0.351,0.435,0.34,100.0,,-10.3,-13.3,-43.5,16.1,86.0,76.0,46.0,616.0,162.0,1441.1,1070.0,6.68,3.18,1.13,0.311,0.698,0.43799999999999994,0.10800000000000001,4.83,4.5,4.5,13.4,86
21,2006.0,Brewers,2206.0,6130.0,180.0,730.0,695.0,71.0,0.08199999999999999,0.201,0.162,0.3,0.258,0.327,0.42,0.322,89.0,,-1.5,-87.8,47.7,15.9,75.0,87.0,43.0,589.0,162.0,1425.2,1145.0,7.23,3.24,1.12,0.297,0.674,0.42100000000000004,0.10800000000000001,4.83,4.39,4.4,16.2,75
22,2006.0,Rangers,2227.0,6273.0,183.0,835.0,799.0,53.0,0.081,0.16899999999999998,0.168,0.311,0.278,0.338,0.446,0.337,97.0,,-7.4,-31.5,-21.7,15.9,80.0,82.0,42.0,651.0,162.0,1431.1,972.0,6.11,3.12,1.02,0.307,0.706,0.46399999999999997,0.10400000000000001,4.61,4.44,4.5,15.8,80
23,2006.0,Giants,2313.0,6136.0,163.0,746.0,711.0,58.0,0.081,0.145,0.163,0.282,0.259,0.324,0.422,0.32,88.0,,-15.8,-116.2,73.5,15.7,76.0,85.0,37.0,599.0,161.0,1429.2,992.0,6.24,3.68,0.96,0.287,0.691,0.419,0.08900000000000001,4.64,4.52,4.82,13.0,76
