,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
4,2018.0,Indians,2413.0,6300.0,216.0,818.0,786.0,135.0,0.08800000000000001,0.18899999999999997,0.176,0.291,0.259,0.332,0.434,0.33,104.0,88.8,13.7,45.6,16.8,27.9,91.0,71.0,41.0,670.0,162.0,1457.1,1544.0,9.54,2.51,1.24,0.298,0.76,0.425,0.13699999999999998,3.77,3.79,3.66,22.1,91
5,2018.0,Brewers,2496.0,6210.0,218.0,754.0,711.0,124.0,0.086,0.235,0.172,0.302,0.252,0.323,0.424,0.322,99.0,88.9,8.2,3.0,68.3,27.5,96.0,67.0,49.0,722.0,163.0,1461.0,1428.0,8.8,3.41,1.07,0.279,0.7440000000000001,0.43200000000000005,0.125,3.73,4.01,4.04,15.2,96
6,2018.0,Braves,2377.0,6251.0,175.0,759.0,717.0,90.0,0.08199999999999999,0.20600000000000002,0.161,0.302,0.257,0.324,0.417,0.319,97.0,88.0,12.6,-10.8,66.8,26.0,90.0,72.0,40.0,715.0,162.0,1456.2,1423.0,8.79,3.92,0.95,0.278,0.741,0.433,0.11199999999999999,3.75,3.99,4.17,14.9,90
7,2018.0,Astros,2348.0,6146.0,205.0,797.0,763.0,71.0,0.092,0.195,0.17,0.289,0.255,0.329,0.425,0.327,109.0,88.0,-7.0,60.1,-11.5,25.9,103.0,59.0,46.0,672.0,162.0,1455.0,1687.0,10.44,2.69,0.94,0.283,0.779,0.44,0.11599999999999999,3.11,3.23,3.36,29.1,103
8,2018.0,Cardinals,2464.0,6200.0,205.0,759.0,725.0,63.0,0.085,0.223,0.16,0.294,0.249,0.321,0.409,0.316,99.0,88.8,12.9,8.3,47.1,25.8,88.0,74.0,43.0,727.0,162.0,1455.1,1337.0,8.27,3.67,0.89,0.293,0.73,0.446,0.105,3.85,3.97,4.24,14.1,88
9,2018.0,Cubs,2490.0,6369.0,167.0,761.0,722.0,66.0,0.09,0.218,0.152,0.313,0.258,0.333,0.41,0.321,100.0,88.7,2.2,-0.9,44.0,25.1,95.0,68.0,46.0,763.0,163.0,1476.1,1333.0,8.13,3.79,0.96,0.284,0.762,0.45,0.115,3.65,4.14,4.29,15.1,95
10,2018.0,Angels,2467.0,6108.0,214.0,721.0,690.0,89.0,0.084,0.213,0.171,0.277,0.242,0.313,0.413,0.313,100.0,88.2,2.8,-1.1,36.7,24.4,80.0,82.0,35.0,763.0,162.0,1437.1,1386.0,8.68,3.42,1.28,0.294,0.741,0.42100000000000004,0.141,4.15,4.36,4.18,11.3,80
11,2018.0,Nationals,2441.0,6288.0,191.0,771.0,737.0,119.0,0.1,0.205,0.164,0.297,0.254,0.335,0.419,0.325,100.0,88.4,8.4,11.5,22.2,23.8,82.0,80.0,40.0,724.0,162.0,1446.0,1417.0,8.82,3.03,1.23,0.287,0.748,0.41200000000000003,0.128,4.04,4.15,4.13,16.7,82
12,2018.0,Rays,2371.0,6195.0,150.0,716.0,664.0,128.0,0.087,0.22399999999999998,0.148,0.317,0.258,0.333,0.406,0.322,106.0,87.7,-0.3,45.9,-23.7,23.4,90.0,72.0,52.0,715.0,162.0,1448.1,1421.0,8.83,3.11,1.02,0.278,0.733,0.439,0.115,3.75,3.82,3.98,17.5,90
13,2018.0,Diamondbacks,2409.0,6157.0,176.0,693.0,658.0,79.0,0.091,0.237,0.162,0.286,0.235,0.31,0.397,0.306,89.0,88.3,7.1,-76.0,79.2,20.3,82.0,80.0,39.0,735.0,162.0,1463.0,1448.0,8.91,3.21,1.07,0.289,0.757,0.473,0.13699999999999998,3.73,3.91,3.81,12.9,82
14,2018.0,Mariners,2373.0,6087.0,176.0,677.0,644.0,79.0,0.071,0.201,0.154,0.295,0.254,0.314,0.408,0.313,100.0,88.7,-7.0,-6.8,-17.4,18.2,89.0,73.0,60.0,699.0,162.0,1448.2,1328.0,8.25,2.49,1.21,0.295,0.725,0.425,0.127,4.13,4.05,4.06,16.0,89
15,2018.0,Pirates,2293.0,6066.0,157.0,692.0,665.0,70.0,0.078,0.203,0.154,0.298,0.254,0.317,0.407,0.312,95.0,88.2,-13.3,-47.6,29.1,17.7,82.0,79.0,40.0,641.0,161.0,1434.0,1336.0,8.38,3.12,1.09,0.296,0.736,0.434,0.121,4.0,4.06,4.14,15.1,82
16,2018.0,Reds,2402.0,6240.0,172.0,696.0,665.0,77.0,0.09,0.221,0.148,0.307,0.254,0.328,0.401,0.317,95.0,87.3,-1.9,-44.0,8.6,16.6,67.0,95.0,38.0,706.0,162.0,1441.0,1258.0,7.86,3.32,1.42,0.3,0.715,0.444,0.158,4.65,4.68,4.28,8.1,67
17,2018.0,Rockies,2368.0,6178.0,210.0,780.0,748.0,95.0,0.08199999999999999,0.226,0.179,0.304,0.256,0.322,0.435,0.325,88.0,88.9,3.2,-88.7,53.2,16.4,91.0,72.0,51.0,681.0,163.0,1452.1,1409.0,8.73,3.25,1.14,0.299,0.713,0.452,0.135,4.33,4.06,3.96,17.3,91
18,2018.0,Twins,2351.0,6154.0,166.0,738.0,704.0,47.0,0.087,0.21600000000000003,0.155,0.298,0.25,0.318,0.405,0.313,96.0,87.9,0.6,-30.6,-17.4,16.0,78.0,84.0,37.0,728.0,162.0,1443.1,1377.0,8.59,3.57,1.23,0.302,0.7240000000000001,0.41600000000000004,0.132,4.5,4.39,4.33,11.9,78
19,2018.0,Mets,2333.0,6177.0,170.0,676.0,649.0,71.0,0.092,0.22699999999999998,0.154,0.283,0.234,0.312,0.389,0.305,94.0,87.8,2.6,-40.1,-8.3,15.0,77.0,85.0,41.0,663.0,162.0,1460.2,1446.0,8.91,2.98,1.14,0.295,0.73,0.42100000000000004,0.122,4.07,3.97,4.03,17.7,77
20,2018.0,Blue Jays,2435.0,6076.0,217.0,709.0,680.0,47.0,0.08199999999999999,0.228,0.183,0.286,0.244,0.312,0.427,0.319,101.0,89.2,-27.1,-22.5,-49.7,13.2,73.0,89.0,39.0,752.0,162.0,1433.2,1298.0,8.15,3.46,1.31,0.306,0.7,0.425,0.127,4.85,4.53,4.54,8.8,73
21,2018.0,Phillies,2474.0,6136.0,186.0,677.0,653.0,69.0,0.095,0.248,0.158,0.289,0.234,0.314,0.393,0.307,90.0,88.1,2.9,-71.4,-3.1,12.2,80.0,82.0,44.0,758.0,162.0,1445.2,1465.0,9.12,3.11,1.06,0.303,0.71,0.45399999999999996,0.124,4.15,3.83,3.87,19.2,80
22,2018.0,Royals,2184.0,6063.0,155.0,638.0,606.0,117.0,0.07,0.21600000000000003,0.146,0.293,0.245,0.305,0.392,0.303,88.0,88.2,-7.4,-97.1,11.6,11.8,58.0,104.0,33.0,645.0,162.0,1432.0,1157.0,7.27,3.45,1.29,0.309,0.706,0.431,0.13,4.95,4.66,4.63,6.4,58
23,2018.0,Rangers,2300.0,6163.0,194.0,737.0,696.0,74.0,0.09,0.24100000000000002,0.164,0.292,0.24,0.318,0.404,0.315,89.0,88.2,7.2,-77.4,-15.1,11.4,67.0,95.0,42.0,668.0,162.0,1431.0,1121.0,7.05,3.09,1.4,0.299,0.696,0.43,0.141,4.92,4.79,4.59,10.8,67
24,2018.0,Marlins,2434.0,6083.0,128.0,589.0,554.0,45.0,0.075,0.228,0.119,0.293,0.237,0.303,0.357,0.289,83.0,87.5,-15.8,-144.4,49.3,9.9,63.0,98.0,30.0,707.0,161.0,1442.0,1249.0,7.8,3.78,1.2,0.29,0.6990000000000001,0.409,0.121,4.76,4.57,4.65,2.7,63
25,2018.0,White Sox,2348.0,6071.0,182.0,656.0,639.0,98.0,0.07,0.263,0.16,0.304,0.241,0.302,0.401,0.304,92.0,88.3,-7.2,-61.9,-52.9,8.8,62.0,100.0,34.0,715.0,162.0,1437.0,1259.0,7.89,4.09,1.23,0.292,0.6940000000000001,0.408,0.11699999999999999,4.85,4.73,4.88,9.9,62
26,2018.0,Padres,2380.0,6059.0,162.0,617.0,583.0,95.0,0.078,0.251,0.145,0.294,0.235,0.297,0.38,0.294,84.0,88.5,-5.7,-122.8,10.0,8.0,66.0,96.0,36.0,697.0,162.0,1457.0,1399.0,8.64,3.21,1.14,0.305,0.711,0.444,0.136,4.41,4.1,3.99,12.4,66
27,2018.0,Giants,2412.0,6113.0,133.0,603.0,573.0,77.0,0.073,0.24,0.129,0.299,0.239,0.3,0.368,0.29,83.0,87.6,-2.9,-132.5,7.9,7.0,73.0,89.0,36.0,711.0,162.0,1461.1,1269.0,7.82,3.23,0.96,0.293,0.723,0.445,0.11,3.95,3.98,4.2,13.1,73
28,2018.0,Tigers,2323.0,6029.0,135.0,630.0,597.0,70.0,0.071,0.222,0.138,0.293,0.241,0.3,0.38,0.295,83.0,87.6,6.4,-113.4,-20.5,6.7,64.0,98.0,37.0,704.0,162.0,1425.1,1215.0,7.67,3.1,1.36,0.291,0.705,0.396,0.129,4.6,4.59,4.55,9.6,64
29,2018.0,Orioles,2313.0,6034.0,188.0,622.0,593.0,81.0,0.07,0.23399999999999999,0.152,0.286,0.239,0.298,0.391,0.299,85.0,88.5,-9.6,-116.1,-75.1,0.8,47.0,115.0,28.0,652.0,162.0,1431.0,1203.0,7.57,3.7,1.47,0.31,0.7,0.419,0.14400000000000002,5.19,4.98,4.73,7.3,47
